CompanyName,CompanyNumber,incorporation_date,CompanyStatus,SICCode_SicText_1,SICCode_SicText_2,SICCode_SicText_3,SICCode_SicText_4,Company_URL_official_company_website,Game_what_they_say_they_do_description_taken_from_their_website,Number_of_employees_2024,Number_of_employees_2023,Number_of_employees_2022,Location_of_main_manufacturing_site_ideally_google_maps_location
01436831 LIMITED,01436831,1979-07-12,Liquidation,22190 - Manufacture of other rubber products,,,,,,,,,
12743101 LTD,12743101,2020-07-14,Active,28131 - Manufacture of pumps,28132 - Manufacture of compressors,33140 - Repair of electrical equipment,33200 - Installation of industrial machinery and equipment,,,,,,
12906787 LTD,12906787,2020-09-25,Active,25110 - Manufacture of metal structures and parts of structures,"25500 - Forging, pressing, stamping and roll-forming of metal; powder metallurgy",27120 - Manufacture of electricity distribution and control apparatus,"28150 - Manufacture of bearings, gears, gearing and driving elements",,,,,,
15145177 LIMITED,15145177,2023-09-18,Active,"27110 - Manufacture of electric motors, generators and transformers",27120 - Manufacture of electricity distribution and control apparatus,27200 - Manufacture of batteries and accumulators,,,,,,,
1GEN LTD,08805698,2013-12-06,Active,27120 - Manufacture of electricity distribution and control apparatus,27520 - Manufacture of non-electric domestic appliances,"28110 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",72190 - Other research and experimental development on natural sciences and engineering,,,,,,
2HGEN LIMITED,13553162,2021-08-06,Active,28120 - Manufacture of fluid power equipment,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
2XCELL LIMITED,12508459,2020-03-10,Active,"27110 - Manufacture of electric motors, generators and transformers",27120 - Manufacture of electricity distribution and control apparatus,71129 - Other engineering activities,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
3 OHMS LTD,05529281,2005-08-05,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
3-60 KINETICS LTD,16104804,2024-11-27,Active,"27110 - Manufacture of electric motors, generators and transformers",27120 - Manufacture of electricity distribution and control apparatus,74100 - specialised design activities,,,,,,,
3B CONTROLS LTD,04653528,2003-01-31,Active,28140 - Manufacture of taps and valves,,,,,,,,,
3D BODY SCANNER LTD,15494898,2024-02-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
3D MECHANICAL MANUFACTURING LIMITED,NI676512,2021-02-16,Active,28140 - Manufacture of taps and valves,,,,,,,,,
3D SCANNERS LIMITED,02567522,1990-12-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
3D VECTOR ELECTRIC LIMITED,14097678,2022-05-10,Active,26400 - Manufacture of consumer electronics,26512 - Manufacture of electronic industrial process control equipment,27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,,,,,,
3H TECHNOLOGIES LTD,11340627,2018-05-02,Active,26110 - Manufacture of electronic components,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,"26600 - Manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,,,
"3S PRECISION CO., LTD",09803001,2015-10-01,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,33200 - Installation of industrial machinery and equipment,,,,,,,
4C ELECTRONICS LIMITED,01459541,1979-11-07,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,,,,,,,,
4M EARTHING SOLUTIONS LTD,SC777437,2023-07-31,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
4PANELS LIMITED,07696320,2011-07-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
4QD LIMITED,09110583,2014-07-01,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
6I-INNOVATIONS UK LIMITED,09924499,2015-12-21,Active,22190 - Manufacture of other rubber products,,,,,,,,,
802AUTOMATION LIMITED,05663342,2005-12-28,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,"63110 - Data processing, hosting and related activities",72190 - Other research and experimental development on natural sciences and engineering,,,,,,
A & B PNEUMATICS LIMITED,NI055332,2005-05-27,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A & M INDUSTRIAL CONTROLS LIMITED,05338199,2005-01-20,Active,26512 - Manufacture of electronic industrial process control equipment,71121 - Engineering design activities for industrial process and production,,,,,,,,
A & P CHAMBERS LIMITED,SC100998,1986-09-23,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
A B CARBON CONSULTING LTD,07763487,2011-09-06,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
A CASTLE PEAK LIMITED,NI701637,2023-09-12,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A F SWITCHGEAR LIMITED,01179371,1974-08-01,Active,26110 - Manufacture of electronic components,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,
A LITTLEJOHN LIMITED,03099965,1995-09-08,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A P ELECTRONIC SERVICES LIMITED,03320676,1997-02-19,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
A R D TECHNOLOGY LIMITED,03423289,1997-08-21,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,62020 - Information technology consultancy activities,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
A T H RUBBER PRODUCTS LIMITED,09794764,2015-09-25,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A TO Z ELECTRICAL SOLUTIONS LTD,14257172,2022-07-26,Active,27120 - Manufacture of electricity distribution and control apparatus,33150 - Repair and maintenance of ships and boats,43210 - Electrical installation,,,,,,,
A V PRODUCTS LIMITED,08663786,2013-08-27,Active,22190 - Manufacture of other rubber products,,,,,,,,,
A W CONTROL SYSTEMS LTD,NI065485,2007-07-02,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
A&A AUTOMATION LIMITED,16146447,2024-12-20,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
A&K FLUIDTECH LIMITED,06826450,2009-02-23,Active - Proposal to Strike off,28131 - Manufacture of pumps,28132 - Manufacture of compressors,,,,,,,,
A&O INNOVATIONS LTD,SC846318,2025-04-24,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
